term,component_1,component_2
foreign language,-0.5622095061267052,-0.2662577179877912
counseling,-0.5257650324841936,0.02850514193622668
high school,-0.5154050466757004,-0.10233723088046366
english language,-0.5152496206891712,-0.1920183033534526
parents,-0.5149765426475567,0.051189004898259546
youth,-0.4827956883856728,-0.018884229277971364
qualitative research,-0.47885125623510344,-0.15465346682378353
school,-0.47865050584772606,-0.07835925148701317
beliefs,-0.4772072899407987,-0.0020150417446678057
sexual,-0.4694671858241378,0.22883762609758218
attitudes,-0.4622731315836674,-0.06731996713476938
structured interviews,-0.44872374670503085,-0.1634752983099404
competence,-0.4453888679778706,-0.18460892827360753
child,-0.44294655293905344,0.1139199505627011
communicative,-0.43703105597275704,-0.1880274495793802
gender,-0.43674709926592825,0.10301963795873396
elementary,-0.4359714413921841,-0.10142368351578808
women,-0.43523667293810164,0.2102519843917453
career,-0.4292379816452263,-0.14026382044285995
faculty,-0.4248365021226136,-0.13355309480408808
foreign,-0.4239108672573302,-0.13905932480755523
english,-0.41691005528335795,-0.10754702505912009
speaking,-0.41453343247564506,-0.07309472483671438
undergraduate,-0.4142007551647898,-0.15095894468042667
college,-0.4132588062809062,0.00012421528543696717
children,-0.4109219691913951,0.13274787798098653
female,-0.41064047214871063,0.3055311269842435
norms,-0.4096509740309487,-0.08809272630437147
researcher,-0.40891653907957903,-0.06444716545356798
leaders,-0.4083360933071492,-0.17516100193362086
teaching,-0.4078501940031276,-0.2180227070242742
institution,-0.4068399192425068,-0.11183691766781644
universities,-0.4060159106852745,-0.2009052246113834
books,-0.4059331473688568,-0.1135768716297131
leadership,-0.4057021688342977,-0.1917406212999652
students,-0.40325235955875327,-0.1783793203473607
perceptions,-0.4032031854025439,-0.13175689876762756
penelitian,-0.3995063171708293,-0.05857894937182707
hasil,-0.3975061218321159,-0.05660090501659137
instructional,-0.3966286893701894,-0.25469387591148324
writing,-0.39531587322584805,-0.14488462224912796
learners,-0.39405534822058463,-0.255141041923565
family,-0.3933880089013044,0.12639425260297696
families,-0.391544624446094,0.1415644766224856
discourse,-0.3914884008771607,-0.1589118556809299
inquiry,-0.3907626649902938,-0.15910861434975493
mental health,-0.3893337336559706,0.07866701361039363
anxiety,-0.38846318373686745,0.15264187161373727
education,-0.38824262719859637,-0.1673868994804363
administered,-0.38772574065193105,0.20130703698991545
student,-0.3873810931045297,-0.20544304907238387
menggunakan,-0.38624214108863253,-0.07133229138606402
semiotic,-0.3850644991395129,-0.13632409037554594
attitude,-0.38437062650688975,-0.020454435290145297
meanings,-0.3821861303007817,-0.07707792049481181
academic,-0.38126387981800214,-0.1918182165104716
spanish,-0.3810403285962646,0.02458973389923271
participated,-0.3790105118305799,0.08227394424001136
linguistics,-0.37829092768678524,-0.1204193805724635
cultural,-0.3777745165772999,-0.13101404906123001
sex,-0.3766053958320078,0.4330514080537208
male,-0.37396516287684506,0.3745789842824518
aged,-0.3732719483201706,0.3109674716829493
personality,-0.37303669281417673,-0.017305047555095033
achievement,-0.3727094202211752,-0.10048649195555152
instruction,-0.37185076092327846,-0.2173837614203398
research method,-0.37072996118750945,-0.11945759333854472
book,-0.3702360506416554,-0.05668518629117302
responsibility,-0.369845205842076,-0.14513580045004326
african,-0.36941059575468804,0.10272485340147498
professional,-0.3683885932785116,-0.14405895023248907
rights,-0.3682782564412438,-0.09539606029117959
indonesian,-0.36655002683172516,-0.12225082500774939
oral,-0.36650765967634763,0.2806250840251257
females,-0.3664325833785071,0.5298875213823357
ethics,-0.36620787783455844,-0.16596546543768004
covid pandemic,-0.36561993372325546,-0.06449003697194214
scholars,-0.3634335152993973,-0.11251335532794353
males,-0.36335423692881613,0.5297250536523123
courses,-0.3624293921378678,-0.2011138071312882
skills,-0.36164954254240483,-0.19666007699743457
health care,-0.36162369797538796,0.15439226900885117
educational,-0.36030483023526627,-0.21780660756617792
grammar,-0.3597389261873414,-0.1297613393145972
vocabulary,-0.3585513734803841,-0.1466401624373955
institutional,-0.3572260929682369,-0.1788089393958806
young,-0.3560455820765073,0.10561406418597127
discussions,-0.3552847989415285,-0.12854087826580574
psychological,-0.3552293436222947,0.014871064280577056
participate,-0.35462907178253184,-0.04048591027034891
members,-0.3544299248857411,-0.006742541487470163
demographic,-0.35435754574609113,0.16061607921080198
participation,-0.35368348223942714,-0.1308317763777435
socio,-0.3535903586779634,-0.03641360797758356
russian,-0.3517389047946697,-0.010033250127906115
narrative,-0.35119361840315305,-0.10195641445830242
texts,-0.3511727313839731,-0.10666334667742722
depression,-0.3506462113116184,0.3467566034162207
american,-0.34766477195828044,0.10507373560296837
culture,-0.34756058652286903,0.03577829995652588
arabic,-0.34723715825030455,-0.09632565008367683
discipline,-0.3458540781914981,-0.1550742957136632
physiotherapy,-0.3402195740523324,0.4738654417104085
staff,-0.3401656781882095,-0.06724266321394581
pragmatic,-0.3401427518392593,-0.10405827631699288
disability,-0.3394765577266349,0.1496763791152367
institutions,-0.33929166318099996,-0.19741503668871485
argues,-0.3389977773229409,-0.1128958817817901
mathematics,-0.33816362409749695,-0.1721621036915113
university,-0.3380385645564206,-0.05092985718935776
pandemic,-0.3375317485921046,-0.058722879856852886
motivation,-0.33565095702449155,-0.195000467041572
linguistic,-0.335611809785799,-0.09174499485854583
french,-0.33425922230642185,0.06331762719274615
reading,-0.33396110290761505,-0.08322151279911971
opinions,-0.33154572305849056,-0.08434940618862448
meaning,-0.33093200625555835,-0.06803585846766971
employment,-0.3303701610263508,-0.053091610749759335
village,-0.32820193013223725,0.053252587722820106
legal,-0.3281583942128374,-0.11880287020547972
cultures,-0.3280292535659037,0.21775304312365473
philosophy,-0.32727395063798836,-0.12039031482069608
district,-0.3269162426754069,0.11172435665990578
sciences,-0.3265898111755919,-0.026691615231015264
programme,-0.3258351872000009,0.041307787504098005
promotion,-0.32542750576656665,-0.04592973943642878
findings study,-0.3247945214022744,-0.057224617197797596
involvement,-0.32459926144072426,-0.07715717365403209
nigeria,-0.3243408981622867,0.18219380619409836
